registro	ano	mes	dia	tmed	urmed	vento	tmax	urmax	ventomax	tmin	urmin	chuva
188	1997	7	7	18.99	78.76	0.93	26.07	100.00	6.20	14.99	40.09	0.00
189	1997	7	8	20.12	70.41	0.57	26.94	100.00	5.45	14.25	30.09	0.00
190	1997	7	9	18.63	75.93	0.75	26.94	100.00	4.70	11.86	35.12	0.00
191	1997	7	10	18.33	73.80	1.01	26.81	100.00	4.70	10.78	35.19	0.00
192	1997	7	11	18.05	76.63	1.04	25.73	100.00	6.20	10.95	42.45	0.00
193	1997	7	12	18.76	73.97	0.93	25.77	100.00	7.70	12.23	40.50	0.00
194	1997	7	13	17.98	77.80	0.82	26.55	100.00	6.95	10.34	40.84	0.10
195	1997	7	14	18.40	70.93	1.25	26.42	100.00	7.70	10.63	33.71	0.00
196	1997	7	15	18.68	73.80	1.13	29.11	100.00	4.70	10.26	35.86	0.00
197	1997	7	16	20.51	71.22	1.46	28.93	100.00	8.45	12.20	34.78	0.00
198	1997	7	17	19.34	79.23	0.90	28.17	100.00	3.95	13.00	37.14	0.00
199	1997	7	18	19.22	79.89	1.68	26.51	100.00	9.20	13.29	43.52	0.00
200	1997	7	19	18.21	76.71	0.89	27.02	100.00	7.70	11.03	34.85	0.10
201	1997	7	20	19.08	71.52	1.28	27.33	99.61	6.95	11.94	32.64	0.00
202	1997	7	21	14.42	97.43	1.03	16.17	100.00	7.70	12.60	80.03	18.20
203	1997	7	22	16.09	86.22	0.80	22.45	100.00	4.70	12.07	54.27	0.10
204	1997	7	23	14.75	85.52	1.26	22.84	100.00	8.45	7.27	44.41	0.20
205	1997	7	24	16.09	83.63	1.02	24.70	100.00	7.70	8.62	50.71	0.00
206	1997	7	25	16.33	80.44	1.12	24.07	100.00	8.45	9.25	41.77	0.10
207	1997	7	26	16.12	80.05	0.73	24.47	100.00	3.95	8.64	39.36	0.00
208	1997	7	27	15.81	80.60	0.68	24.50	100.00	4.70	8.18	37.34	0.10
209	1997	7	28	16.52	73.11	0.95	26.78	100.00	3.95	7.74	22.50	0.10
210	1997	7	29	17.53	68.77	1.08	27.66	100.00	4.70	8.15	25.59	0.00
211	1997	7	30	16.96	69.30	1.14	25.61	100.00	4.70	8.52	30.16	0.00
212	1997	7	31	19.12	69.05	1.07	29.11	99.01	5.45	11.24	31.16	0.00
213	1997	8	1	19.54	67.02	1.24	30.64	100.00	4.70	10.16	21.76	0.00
214	1997	8	2	20.13	65.13	1.48	30.72	100.00	6.95	10.23	24.10	0.00
215	1997	8	3	20.29	62.64	1.67	28.84	97.99	8.45	11.90	29.42	0.00
216	1997	8	4	20.42	69.05	1.27	27.32	91.16	5.45	14.77	47.55	0.00
217	1997	8	5	16.40	86.18	2.62	18.15	96.22	9.95	14.73	75.50	0.40
218	1997	8	6	19.88	72.79	1.43	27.21	95.76	6.20	13.63	41.30	0.00
219	1997	8	7	20.07	74.23	0.77	28.26	100.00	6.20	12.32	36.86	0.10
220	1997	8	8	15.56	84.83	2.03	19.18	100.00	7.70	11.96	68.84	0.20
221	1997	8	9	13.89	72.79	3.85	19.86	91.49	12.95	10.03	42.62	0.00
222	1997	8	10	13.26	70.16	2.07	20.57	100.00	9.20	6.49	31.99	0.00
223	1997	8	11	14.90	69.10	0.67	24.47	100.00	4.70	5.68	30.09	0.00
224	1997	8	12	16.49	65.97	1.15	26.42	100.00	5.45	7.02	27.06	0.00
225	1997	8	13	18.06	66.66	1.04	27.82	98.72	6.95	9.18	26.32	0.00
226	1997	8	14	18.31	66.25	0.69	29.09	100.00	4.70	8.42	18.13	0.10
227	1997	8	15	18.80	59.61	1.33	28.44	97.81	6.20	9.45	23.23	0.00
228	1997	8	16	19.33	58.50	1.37	29.35	97.11	7.70	9.13	22.56	0.00
229	1997	8	17	19.36	58.04	1.34	29.04	99.33	6.95	8.79	17.39	0.00
230	1997	8	18	19.94	58.26	1.29	29.04	96.34	6.95	10.31	26.32	0.00
231	1997	8	19	21.12	55.10	1.26	30.04	95.86	7.70	10.85	28.40	0.00
232	1997	8	20	21.44	57.02	1.37	31.47	95.98	6.95	11.09	25.11	0.00
233	1997	8	21	18.85	78.16	0.56	23.47	98.15	4.70	14.08	54.36	0.10
234	1997	8	22	22.14	69.79	0.71	30.45	99.04	6.20	15.74	32.43	0.00
235	1997	8	23	19.19	82.54	1.52	25.11	100.00	6.95	14.15	56.51	0.00
236	1997	8	24	18.85	86.44	1.32	23.84	100.00	21.20	15.39	58.72	15.50
237	1997	8	25	17.91	76.59	1.38	24.66	100.00	6.95	11.52	39.62	0.10
238	1997	8	26	18.34	70.83	0.80	27.60	100.00	4.70	9.98	27.87	0.00
239	1997	8	27	20.42	62.29	1.12	31.25	100.00	7.70	9.98	19.94	0.00
240	1997	8	28	21.03	53.16	0.72	30.79	97.01	5.45	11.08	17.99	0.00
241	1997	8	29	21.19	56.54	1.10	31.13	99.42	6.95	10.66	22.50	0.00
242	1997	8	30	21.76	57.09	1.12	31.74	99.41	4.70	11.90	19.33	0.00
243	1997	8	31	22.30	55.13	1.22	31.21	98.72	5.45	12.61	20.94	0.00
244	1997	9	1	22.11	51.38	1.11	30.97	94.77	5.45	12.65	17.19	0.00
245	1997	9	2	21.97	46.12	1.20	31.07	93.36	6.20	11.84	13.57	0.00
246	1997	9	3	22.72	46.10	1.37	32.61	87.30	7.70	12.30	16.71	0.00
247	1997	9	4	24.39	50.86	0.72	31.63	88.07	9.95	16.29	24.44	0.00
248	1997	9	5	22.06	65.24	1.42	31.39	86.53	10.70	17.15	30.76	0.00
249	1997	9	6	20.82	73.19	1.86	28.81	100.00	9.95	15.21	40.56	1.70
250	1997	9	7	20.76	65.97	0.91	29.80	100.00	7.70	12.64	27.53	0.00
251	1997	9	8	22.64	58.42	1.38	33.59	100.00	6.20	10.96	21.01	0.00
252	1997	9	9	26.73	49.45	1.89	36.02	87.66	12.20	15.67	20.95	0.00
253	1997	9	10	24.06	67.62	1.43	31.56	100.00	13.70	17.23	43.83	0.10
254	1997	9	11	19.24	72.92	2.64	26.43	90.84	12.95	14.30	47.21	0.00
255	1997	9	12	20.24	65.14	1.26	29.22	92.55	18.20	12.31	36.26	0.00
256	1997	9	13	25.36	63.41	2.04	33.45	94.00	9.95	16.17	39.27	0.00
257	1997	9	14	21.79	95.16	1.20	24.69	100.00	9.95	19.49	70.89	35.00
258	1997	9	15	19.52	96.60	1.35	22.39	100.00	8.45	16.25	77.34	1.70
259	1997	9	16	19.07	76.75	1.99	25.50	100.00	9.20	14.04	39.29	0.00
260	1997	9	17	19.94	67.17	0.98	28.59	100.00	5.45	12.42	23.84	0.00
261	1997	9	18	19.53	69.03	2.09	27.05	97.86	9.95	13.47	37.61	0.00
262	1997	9	19	21.64	66.76	1.52	29.40	91.44	6.95	15.46	34.58	0.00
263	1997	9	20	19.75	87.86	1.36	26.56	100.00	15.20	16.37	58.57	24.00
264	1997	9	21	19.97	89.01	1.31	23.68	100.00	9.20	17.59	66.92	0.80
265	1997	9	22	19.24	80.80	2.19	24.76	96.74	6.95	14.79	52.19	0.00
266	1997	9	23	19.72	73.86	0.98	27.92	100.00	7.70	12.55	36.66	0.00
267	1997	9	24	22.68	69.01	0.75	31.43	100.00	5.45	14.00	26.11	0.00
268	1997	9	25	21.56	82.75	1.74	27.87	100.00	12.20	17.34	55.18	12.80
269	1997	9	26	19.05	88.52	2.50	22.00	100.00	8.45	17.04	74.79	1.50
270	1997	9	27	20.25	80.70	2.16	27.13	96.20	7.70	16.01	55.60	0.00
271	1997	9	28	23.01	77.48	0.77	31.42	100.00	5.45	15.14	47.32	0.00
272	1997	9	29	22.10	89.03	1.48	29.22	100.00	13.70	18.31	56.81	13.20
273	1997	9	30	22.64	84.47	1.55	28.93	100.00	6.95	17.96	56.40	0.10
274	1997	10	1	20.97	95.14	1.08	24.84	100.00	9.20	18.08	82.58	12.90
275	1997	10	2	20.95	71.58	3.41	24.70	93.77	12.20	16.41	36.08	0.00
276	1997	10	3	18.49	73.08	3.06	24.23	94.87	9.95	14.44	44.08	0.00
277	1997	10	4	21.49	67.81	1.00	31.10	99.01	6.20	12.39	30.48	0.00
278	1997	10	5	26.02	64.09	2.25	32.86	90.82	9.95	18.26	42.16	0.00
279	1997	10	6	22.56	77.20	1.86	29.25	100.00	12.95	17.14	54.67	4.00
280	1997	10	7	19.17	86.51	2.83	23.87	100.00	9.95	16.49	66.50	2.40
281	1997	10	8	20.91	80.24	3.17	27.10	97.50	10.70	15.90	57.22	0.00
282	1997	10	9	24.27	68.73	1.27	32.43	100.00	7.70	16.39	33.90	0.00
283	1997	10	10	25.08	62.18	1.26	31.94	96.07	6.95	17.26	31.89	0.00
284	1997	10	11	25.24	68.11	1.45	32.78	100.00	11.45	18.88	29.74	0.00
285	1997	10	12	25.76	66.88	1.14	33.50	100.00	6.20	17.92	32.09	0.00
286	1997	10	13	26.03	63.00	1.66	35.15	93.38	9.95	18.34	22.42	0.00
287	1997	10	14	25.15	67.11	1.55	33.42	96.07	6.95	17.61	34.03	0.00
288	1997	10	15	26.81	68.39	1.57	36.84	100.00	11.45	18.64	26.78	1.10
289	1997	10	16	20.86	94.33	1.42	23.73	100.00	8.45	18.16	71.23	5.30
290	1997	10	17	19.05	79.85	3.67	24.20	97.95	9.95	15.57	56.90	0.10
291	1997	10	18	19.96	73.45	2.94	27.05	95.69	9.20	14.31	44.66	0.00
292	1997	10	19	20.82	78.93	1.88	27.59	98.37	9.20	15.23	52.71	1.10
